#meta full request: /calibration/alert/ahdc/time_offsets:21417:default:2025-04-11_12-22-13
#meta variation: default
#meta created: 2025-04-11 12:22:13
#meta run range: 21417 - inf.
#meta author: mpaolone

# Sector Layer Component t0 dt0 extra1 extra2 chi2ndf

#& sector layer component t0 dt0 extra1 extra2 chi2ndf
1 11 1 210.5523 10.9775 0.0 0.0 2.01
1 11 2 212.5884 11.9540 0.0 0.0 2.79
1 11 3 211.6729 12.9162 0.0 0.0 2.02
1 11 4 208.9158 11.9008 0.0 0.0 1.88
1 11 5 210.6765 12.9712 0.0 0.0 2.07
1 11 6 210.6465 12.8425 0.0 0.0 1.73
1 11 7 206.8833 12.1903 0.0 0.0 1.84
1 11 8 201.6582 10.9304 0.0 0.0 2.73
1 11 9 263.4005 13.4862 0.0 0.0 1.56
1 11 10 256.4599 13.9507 0.0 0.0 1.80
1 11 11 209.4318 12.8656 0.0 0.0 1.96
1 11 12 206.8578 12.6624 0.0 0.0 2.08
1 11 13 213.4912 13.5997 0.0 0.0 1.64
1 11 14 201.1386 10.8958 0.0 0.0 2.40
1 11 15 241.0703 13.7568 0.0 0.0 2.08
1 11 16 234.7293 12.8155 0.0 0.0 2.04
1 11 17 206.5343 11.2293 0.0 0.0 2.16
1 11 18 203.0084 10.4535 0.0 0.0 1.82
1 11 19 203.8878 11.0513 0.0 0.0 1.79
1 11 20 214.3675 12.7893 0.0 0.0 1.75
1 11 21 212.8 0.0000 0.0 0.0 119.35
1 11 22 208.6946 11.2576 0.0 0.0 2.13
1 11 23 208.2898 11.3125 0.0 0.0 2.33
1 11 24 207.4184 10.8854 0.0 0.0 2.59
1 11 25 299.6956 12.5362 0.0 0.0 1.80
1 11 26 298.688 13.2694 0.0 0.0 1.80
1 11 27 208.6544 11.5355 0.0 0.0 1.92
1 11 28 213.101 12.6257 0.0 0.0 1.64
1 11 29 210.837 13.1655 0.0 0.0 1.50
1 11 30 210.6438 10.9821 0.0 0.0 2.37
1 11 31 213.007 11.2519 0.0 0.0 2.07
1 11 32 211.1181 11.3974 0.0 0.0 2.14
1 11 33 214.3733 11.9039 0.0 0.0 2.09
1 11 34 214.0955 13.3842 0.0 0.0 1.88
1 11 35 309.8936 13.8393 0.0 0.0 1.61
1 11 36 311.0836 14.5976 0.0 0.0 1.54
1 11 37 217.9621 13.6320 0.0 0.0 1.88
1 11 38 213.0734 12.5601 0.0 0.0 2.10
1 11 39 221.2073 13.5781 0.0 0.0 1.67
1 11 40 208.7324 11.7030 0.0 0.0 2.08
1 11 41 223.3278 13.3529 0.0 0.0 1.89
1 11 42 217.1755 12.2039 0.0 0.0 1.98
1 11 43 206.9953 11.0195 0.0 0.0 2.07
1 11 44 207.0333 10.8371 0.0 0.0 2.31
1 11 45 206.2954 11.1442 0.0 0.0 2.03
1 11 46 299.8345 12.6715 0.0 0.0 2.46
1 11 47 295.1421 13.0645 0.0 0.0 2.13
1 21 1 215.3958 13.2865 0.0 0.0 1.72
1 21 2 215.3492 12.8108 0.0 0.0 1.88
1 21 3 218.2918 13.5052 0.0 0.0 1.69
1 21 4 215.4271 13.2146 0.0 0.0 2.01
1 21 5 214.6214 13.0520 0.0 0.0 2.39
1 21 6 215.0903 13.0508 0.0 0.0 1.70
1 21 7 212.6196 13.1469 0.0 0.0 1.73
1 21 8 212.6037 13.5572 0.0 0.0 1.69
1 21 9 212.4737 13.3110 0.0 0.0 1.69
1 21 10 214.3173 15.4334 0.0 0.0 1.55
